Product Name,Base Procurement Price,Base Selling Price,Search Product:,Farari Spicy Namkeen (फरारी तीखा नमकीन),➡️ Go to Product
Farari Spicy Namkeen (फरारी तीखा नमकीन),62,63,,,
Sprite (स्प्राइट) Rs 20,₹475.00,₹485.00,,,
Maaza (माजा) 600 ml,700,₹705.00,,,
Bharat Zarda Green (भारत जर्दा हरा) Rs.10,43,₹43.00,,,
Bharat Zarda Green (भारत जर्दा हरा) Rs 5,43,₹43.00,,,
Mishri (मिश्री),57,70,,,
Revdi (रेवड़ी),90,92,,,
moongfali kacche dane,124,130,,,
sikhe dane (mumfali) 1 kg,140,145,,,
Harish Chips (हरीश चिप्स),160,160,,,
pepsi rs1,180,190,,,
Target Mango (टार्गेट मैंगो),170,185,,,
Ghadhi 1kg Sack (घड़ी 1 kg कट्टा),1630,1700,,,
Balaji Oil (बालाजी तेल) 800 ml,1608,1620,,,
Appy (Appy) Rs 10,340,350,,,
Swastik Toor Dal (स्वस्तिक तुअर दाल),118,124,,,
Wheel Soap (Wheel साबुन) Rs 10 Box,625,635,,,
Eclairs Packet (Eclairs पैकेट),28,₹30.00,,,
Kundan Long Sev (कुन्दन लौंग सेव) 500g,72.5,₹74.00,,,
Natraj Gajak (नटराज गजक),170,₹180.00,,,
Dry Dates / Kharak (खारक),150,160,,,
Sugar S Size (शक्कर S Size),2190,2210,,,
Coconut Biscuit Crate (कोकोनट बिस्कुट पेटी),₹885.00,₹890.00,,,
Paheli (पहेली) Rs 20,258,260,,,
Balaji Oil (बालाजी) 1 Ltr,1778,1788,,,
ACHAR 500G,₹45.00,₹110.00,,,
agarwatti rs 2 outer20 pc,₹40.00,,,,
Advanced Cigarette (एडवांस सिगरेट),,₹110.00,,,
Ajay Toothbrush (अजय टूथब्रश) Rs 10,,₹90.00,,,
20-20 Biscuit Crate (20-20 बिस्किट पेटी),,₹649.00,,,
20-20 Biscuit Blue (20-20 बिस्किट नीला),,₹54.50,,,
420 Maize (420 मक्का),,₹610.00,,,
 Moong Dal (मूंग दाल) POST MAN,₹94.00,₹98.00,,,
 shankar dhaniya 500g,₹80.00,₹168.00,,,
20-20 Biscuit Red (20-20 बिस्किट लाल),,₹54.50,,,
555 Cards (555 तास),,₹330.00,,,
ACHAR 1KG,90,,,,
achar masala  200g outer 5 pack,160,,,,
achar masala 500g,75,,,,
AJWAIN 1KG,170,,,,
Almonds (बादाम),,₹0.82,,,
American Cigarette (अमेरिकन सिगरेट),,₹179.00,,,
Amina 5-Min Henna (अमीना 5 मिनट मेंहदी),,₹48.00,,,
Amina Gold (अमीना गोल्ड),,₹68.00,,,
Ariel Sack (एरियल कट्टा),,₹480.00,,,
Ariel Surf (एरियल सर्फ) 10₹,,₹9.00,,,
Ash Ghee (ऐश घी) 100 ml,,₹0.00,,,
Aunty Rs 5 (आंटी Rs 5),,₹48.00,,,
Babool Toothpaste (बबूल) Rs 10,,₹9.00,,,
Babuji Black Salt (बाबूजी कला नमक),,₹60.00,,,
Babuji Chilli (बाबूजी मिर्च) Rs 10,₹170.00,₹182.00,,,
Babuji Chilli (बाबूजी मिर्ची) 200g,260,275,,,
Babuji Chilli (बाबूजी मिर्ची) 500g,₹130.00,₹135.00,,,
Babuji Coriander (बाबूजी धनिया) 200g,₹200.00,₹215.00,,,
Babuji Coriander (बाबूजी धनिया) Rs 10,₹140.00,₹150.00,,,
